# ICOMP=11: Draine 2003 astrosilicate               
#  0.1000 = grain radius (micron)
#   20.00 = grain temperature (K)
#     837 = number of wavelengths
#  wave(um)      eps_1-1    eps_2      Re(n)-1     Im(n)
3.757091E+01  5.3013E+00 5.7141E+00  1.7210E+00 1.0500E+00
3.350919E+01  4.6401E+00 5.6659E+00  1.6110E+00 1.0850E+00
2.999855E+01  3.9149E+00 5.5398E+00  1.4820E+00 1.1160E+00
2.755200E+01  3.3538E+00 5.3395E+00  1.3710E+00 1.1260E+00
2.499677E+01  2.7226E+00 5.0870E+00  1.2390E+00 1.1360E+00
2.479680E+01  2.6669E+00 5.0530E+00  1.2260E+00 1.1350E+00
2.431059E+01  2.5522E+00 4.9608E+00  1.1970E+00 1.1290E+00
2.384308E+01  2.4409E+00 4.8978E+00  1.1710E+00 1.1280E+00
2.339321E+01  2.3205E+00 4.8130E+00  1.1410E+00 1.1240E+00
2.296000E+01  2.2211E+00 4.7334E+00  1.1150E+00 1.1190E+00
2.254255E+01  2.1053E+00 4.6771E+00  1.0880E+00 1.1200E+00
2.214000E+01  1.9735E+00 4.5845E+00  1.0540E+00 1.1160E+00
2.175158E+01  1.8733E+00 4.4771E+00  1.0240E+00 1.1060E+00
2.137655E+01  1.7806E+00 4.3896E+00  9.9710E-01 1.0990E+00
2.101424E+01  1.6751E+00 4.2951E+00  9.6660E-01 1.0920E+00
2.066400E+01  1.5781E+00 4.1899E+00  9.3620E-01 1.0820E+00
2.032525E+01  1.4898E+00 4.0899E+00  9.0760E-01 1.0720E+00
2.000065E+01  1.3758E+00 3.9906E+00  8.7350E-01 1.0650E+00
1.937250E+01  1.1919E+00 3.6772E+00  7.9900E-01 1.0220E+00
1.878546E+01  1.0985E+00 3.3658E+00  7.4140E-01 9.6640E-01
1.823294E+01  1.0801E+00 3.0392E+00  6.9750E-01 8.9520E-01
1.771200E+01  1.1185E+00 2.7643E+00  6.7350E-01 8.2590E-01
1.722000E+01  1.1994E+00 2.5080E+00  6.6360E-01 7.5380E-01
1.675459E+01  1.3090E+00 2.3042E+00  6.6900E-01 6.9030E-01
1.631368E+01  1.4384E+00 2.1213E+00  6.8380E-01 6.2990E-01
1.589538E+01  1.5912E+00 1.9833E+00  7.1090E-01 5.7960E-01
1.549800E+01  1.7519E+00 1.8723E+00  7.4360E-01 5.3690E-01
1.512000E+01  1.9322E+00 1.7981E+00  7.8490E-01 5.0370E-01
1.499928E+01  1.9929E+00 1.7810E+00  7.9940E-01 4.9490E-01
1.476000E+01  2.1235E+00 1.7542E+00  8.3110E-01 4.7900E-01
1.441674E+01  2.3528E+00 1.7573E+00  8.8920E-01 4.6510E-01
1.408909E+01  2.5957E+00 1.8550E+00  9.5470E-01 4.7450E-01
1.377600E+01  2.7943E+00 2.0615E+00  1.0140E+00 5.1180E-01
1.347652E+01  2.8868E+00 2.3356E+00  1.0520E+00 5.6910E-01
